Nr,Uczestnik,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,Katarzyna Popowa-Zydroń,John Rink,Wojciech Świtała,Średnia
1,Ziye Tao,14.0,17.0,19.0,21.0,21.0,,18.0,16.0,17.0,20.0,21.0,21.0,18.0,21.0,18.0,16.0,15.0,18.41
2,Chun Lam U,9.0,14.0,18.0,16.0,17.0,,16.0,17.0,16.0,15.0,17.0,16.0,16.0,19.0,16.0,15.0,12.0,15.79
3,Tomoharu Ushida,19.0,16.0,20.0,19.0,22.0,21.0,24.0,24.0,20.0,19.0,22.0,24.0,,22.0,23.0,19.0,18.0,20.81
4,Ryan Wang,17.0,19.0,19.0,17.0,21.0,16.0,18.0,18.0,15.0,17.0,17.0,15.0,16.0,15.0,17.0,18.0,16.0,17.07
5,Zitong Wang,22.0,21.0,21.0,17.0,22.0,,22.0,17.0,16.0,23.0,23.0,21.0,19.0,23.0,22.0,22.0,22.0,21.03
6,Jan Widlarz,19.0,16.0,20.0,17.0,20.0,17.0,17.0,17.0,16.0,19.0,20.0,18.0,21.0,21.0,,18.0,20.0,18.50
7,Andrzej Wierciński,17.0,18.0,21.0,24.0,20.0,18.0,21.0,16.0,16.0,15.0,21.0,20.0,21.0,17.0,19.0,21.0,,19.02
8,Krzysztof Wierciński,18.0,12.0,19.0,17.0,22.0,19.0,21.0,17.0,16.0,20.0,19.0,18.0,22.0,17.0,18.0,18.0,18.0,18.40
9,Victoria Wong,18.0,18.0,20.0,17.0,22.0,17.0,18.0,17.0,15.0,,18.0,19.0,20.0,20.0,18.0,19.0,17.0,18.29
10,Maiqi Wu,20.0,15.0,19.0,19.0,21.0,19.0,17.0,18.0,19.0,19.0,18.0,17.0,19.0,,21.0,17.0,20.0,18.66
11,Yifan Wu,20.0,20.0,19.0,24.0,23.0,20.0,23.0,24.0,19.0,20.0,24.0,20.0,21.0,22.0,21.0,22.0,23.0,21.47
12,Miki Yamagata,20.0,13.0,18.0,22.0,21.0,17.0,22.0,20.0,19.0,23.0,23.0,22.0,19.0,17.0,18.0,18.0,19.0,19.61
13,Ryota Yamazaki,19.0,13.0,20.0,16.0,21.0,17.0,21.0,20.0,16.0,16.0,21.0,16.0,18.0,16.0,17.0,16.0,15.0,17.54
14,Fanze Yang,19.0,10.0,20.0,18.0,21.0,21.0,22.0,20.0,16.0,19.0,18.0,23.0,19.0,21.0,19.0,16.0,16.0,18.95
15,William Yang,19.0,21.0,18.0,17.0,20.0,22.0,24.0,22.0,21.0,20.0,18.0,,18.0,21.0,20.0,23.0,20.0,20.22
16,Yuanfan Yang,17.0,22.0,20.0,18.0,20.0,17.0,17.0,19.0,20.0,17.0,18.0,16.0,20.0,17.0,19.0,16.0,20.0,18.38
17,Yichen Yu,17.0,22.0,18.0,17.0,21.0,16.0,17.0,20.0,22.0,22.0,20.0,16.0,21.0,18.0,21.0,16.0,16.0,18.79
18,Yuewen Yu,23.0,17.0,20.0,16.0,21.0,16.0,17.0,15.0,16.0,16.0,19.0,19.0,19.0,21.0,24.0,23.0,16.0,18.46
19,Andrey Zenin,21.0,22.0,21.0,19.0,22.0,15.0,19.0,14.0,12.0,15.0,18.0,18.0,21.0,15.0,19.0,16.0,15.0,17.78
20,Jacky Zhang,15.0,17.0,21.0,25.0,24.0,17.0,23.0,20.0,16.0,19.0,20.0,24.0,23.0,24.0,20.0,20.0,22.0,20.75
21,Yonghuan Zhong,16.0,20.0,18.0,15.0,21.0,18.0,17.0,16.0,16.0,16.0,21.0,16.0,21.0,15.0,17.0,16.0,,17.33
22,Hanyuan Zhu,15.0,16.0,18.0,15.0,22.0,,24.0,17.0,16.0,23.0,22.0,20.0,18.0,21.0,21.0,16.0,16.0,18.59
23,Jingting Zhu,15.0,18.0,19.0,17.0,20.0,16.0,17.0,18.0,21.0,18.0,20.0,,19.0,20.0,20.0,19.0,16.0,18.33
24,Piotr Alexewicz,15.0,22.0,21.0,19.0,21.0,21.0,24.0,24.0,18.0,18.0,24.0,20.0,23.0,22.0,19.0,24.0,20.0,21.02
25,Jonas Aumiller,15.0,23.0,20.0,18.0,23.0,22.0,21.0,21.0,19.0,17.0,23.0,22.0,22.0,22.0,20.0,20.0,17.0,20.46
26,Yanyan Bao,22.0,13.0,22.0,19.0,23.0,22.0,21.0,16.0,16.0,21.0,18.0,23.0,23.0,22.0,19.0,17.0,23.0,20.35
27,Michał Basista,22.0,15.0,21.0,17.0,21.0,17.0,17.0,17.0,15.0,18.0,18.0,19.0,18.0,16.0,18.0,16.0,20.0,17.87
28,Kai-Min Chang,22.0,17.0,20.0,18.0,23.0,,19.0,17.0,17.0,21.0,20.0,19.0,17.0,21.0,24.0,19.0,21.0,19.59
29,Kevin Chen,20.0,23.0,22.0,25.0,24.0,18.0,25.0,23.0,24.0,24.0,24.0,24.0,22.0,22.0,21.0,22.0,25.0,22.93
30,Xuehong Chen,19.0,18.0,21.0,19.0,21.0,17.0,21.0,22.0,19.0,24.0,19.0,23.0,23.0,20.0,21.0,19.0,21.0,20.40
31,Zixi Chen,23.0,18.0,23.0,18.0,21.0,18.0,20.0,21.0,17.0,20.0,21.0,19.0,20.0,21.0,23.0,22.0,19.0,20.25
32,Hoi Leong Cheong,22.0,13.0,19.0,17.0,22.0,20.0,22.0,17.0,17.0,22.0,18.0,,19.0,22.0,22.0,18.0,17.0,19.39
33,Diana Cooper,22.0,17.0,20.0,19.0,20.0,22.0,21.0,15.0,16.0,18.0,19.0,16.0,19.0,16.0,19.0,20.0,19.0,18.71
34,Athena Deng,23.0,13.0,20.0,17.0,19.0,,23.0,16.0,16.0,17.0,17.0,18.0,18.0,17.0,18.0,18.0,17.0,17.80
35,Yubo Deng,19.0,18.0,20.0,18.0,22.0,,17.0,23.0,16.0,19.0,19.0,20.0,22.0,22.0,23.0,21.0,15.0,19.72
36,Mateusz Dubiel,17.0,20.0,20.0,21.0,21.0,18.0,17.0,21.0,15.0,19.0,19.0,16.0,21.0,20.0,20.0,18.0,21.0,19.12
37,Yu-Ang Fan,12.0,15.0,19.0,19.0,22.0,21.0,16.0,16.0,15.0,21.0,18.0,24.0,19.0,17.0,19.0,15.0,15.0,17.71
38,Alberto Ferro,17.0,15.0,21.0,22.0,21.0,17.0,18.0,22.0,18.0,15.0,23.0,19.0,18.0,17.0,20.0,19.0,20.0,18.98
39,Yang (Jack) Gao,24.0,17.0,20.0,21.0,21.0,21.0,23.0,23.0,15.0,20.0,19.0,23.0,18.0,19.0,24.0,22.0,16.0,20.51
40,Shuguang Gong,18.0,13.0,19.0,17.0,21.0,18.0,21.0,18.0,19.0,,19.0,21.0,18.0,16.0,23.0,19.0,21.0,18.91
41,Eric Guo,18.0,22.0,24.0,24.0,22.0,22.0,22.0,25.0,18.0,22.0,25.0,22.0,24.0,23.0,23.0,25.0,23.0,22.78
42,Wei-Ting Hsieh,14.0,21.0,24.0,21.0,21.0,17.0,22.0,17.0,14.0,19.0,21.0,18.0,17.0,15.0,19.0,21.0,20.0,19.02
43,Xiaoyu Hu,24.0,13.0,25.0,17.0,21.0,24.0,23.0,16.0,15.0,20.0,19.0,16.0,19.0,24.0,24.0,18.0,16.0,19.60
44,Hasan Ignatov,18.0,16.0,22.0,16.0,22.0,17.0,21.0,21.0,15.0,16.0,19.0,16.0,18.0,20.0,19.0,20.0,19.0,18.51
45,Zihan Jin,22.0,21.0,23.0,20.0,21.0,20.0,20.0,21.0,21.0,23.0,19.0,22.0,18.0,21.0,18.0,19.0,20.0,20.53
46,Adam Kałduński,22.0,15.0,24.0,23.0,23.0,21.0,25.0,21.0,15.0,21.0,23.0,20.0,23.0,16.0,,23.0,21.0,21.44
47,David Khrikuli,18.0,21.0,23.0,23.0,23.0,24.0,22.0,19.0,15.0,19.0,23.0,19.0,18.0,15.0,20.0,23.0,20.0,20.52
48,Antoni Kłeczek,20.0,14.0,18.0,16.0,21.0,16.0,18.0,20.0,20.0,15.0,19.0,19.0,,,18.0,13.0,16.0,17.64
49,Kaito Kobayashi,21.0,20.0,20.0,21.0,21.0,18.0,20.0,19.0,12.0,16.0,22.0,22.0,18.0,20.0,17.0,16.0,16.0,18.96
50,Mateusz Krzyżowski,22.0,13.0,22.0,19.0,22.0,23.0,22.0,18.0,15.0,17.0,17.0,16.0,23.0,18.0,20.0,16.0,19.0,19.03
51,Shiori Kuwahara,22.0,16.0,25.0,24.0,24.0,22.0,23.0,25.0,16.0,21.0,23.0,20.0,22.0,24.0,23.0,18.0,21.0,22.03
52,Shushi Kyomasu,24.0,15.0,19.0,19.0,20.0,17.0,19.0,19.0,21.0,19.0,21.0,18.0,18.0,20.0,23.0,17.0,20.0,19.30
53,Hyo Lee,23.0,20.0,21.0,24.0,21.0,17.0,24.0,20.0,20.0,19.0,21.0,23.0,23.0,,19.0,22.0,20.0,21.13
54,Hyuk Lee,20.0,21.0,20.0,25.0,21.0,16.0,22.0,19.0,22.0,22.0,22.0,21.0,22.0,,20.0,23.0,21.0,21.13
55,Kwanwook Lee,19.0,18.0,21.0,23.0,21.0,21.0,22.0,18.0,23.0,21.0,19.0,19.0,18.0,21.0,18.0,19.0,17.0,19.87
56,Luwangzi Li,19.0,17.0,19.0,21.0,24.0,15.0,20.0,17.0,19.0,22.0,18.0,23.0,19.0,17.0,22.0,16.0,17.0,19.03
57,Tianyou Li,21.0,18.0,20.0,20.0,24.0,17.0,21.0,18.0,18.0,22.0,20.0,18.0,18.0,22.0,22.0,20.0,17.0,19.69
58,Xiaoxuan Li,15.0,19.0,20.0,17.0,24.0,21.0,23.0,22.0,17.0,23.0,20.0,,23.0,24.0,19.0,24.0,20.0,20.88
59,Zhexiang Li,19.0,19.0,21.0,17.0,20.0,23.0,23.0,15.0,19.0,21.0,21.0,21.0,24.0,19.0,16.0,18.0,21.0,19.89
60,Hao-Wei Lin,10.0,10.0,19.0,22.0,21.0,17.0,19.0,14.0,17.0,18.0,19.0,16.0,17.0,19.0,17.0,18.0,15.0,17.22
61,Pedro Lopez Salas,8.0,9.0,22.0,16.0,20.0,14.0,16.0,12.0,16.0,19.0,18.0,16.0,17.0,16.0,15.0,13.0,12.0,15.33
62,Eric Lu,22.0,19.0,23.0,24.0,23.0,,22.0,21.0,17.0,21.0,24.0,,24.0,22.0,18.0,22.0,23.0,21.82
63,Philipp Lynov,20.0,20.0,23.0,20.0,23.0,20.0,23.0,23.0,20.0,21.0,24.0,19.0,22.0,22.0,19.0,19.0,19.0,21.00
64,Tianyao Lyu,20.0,16.0,23.0,22.0,22.0,23.0,23.0,19.0,24.0,23.0,22.0,23.0,24.0,24.0,,19.0,23.0,22.06
65,Tiankun Ma,19.0,18.0,24.0,25.0,22.0,19.0,18.0,20.0,17.0,20.0,23.0,20.0,18.0,18.0,19.0,16.0,18.0,19.45
66,Xuanyi Mao,23.0,20.0,24.0,24.0,20.0,17.0,21.0,18.0,18.0,18.0,17.0,18.0,20.0,15.0,15.0,15.0,16.0,18.56
67,Ruben Micieli,23.0,17.0,22.0,21.0,24.0,23.0,23.0,19.0,19.0,20.0,19.0,21.0,21.0,15.0,21.0,21.0,19.0,20.61
68,Nathalia Milstein,24.0,21.0,22.0,22.0,23.0,18.0,24.0,25.0,16.0,17.0,23.0,21.0,19.0,19.0,21.0,24.0,20.0,21.26
69,Yumeka Nakagawa,17.0,16.0,21.0,22.0,23.0,17.0,23.0,17.0,17.0,19.0,22.0,24.0,20.0,22.0,21.0,18.0,18.0,19.78
70,Yulia Nakashima,17.0,18.0,20.0,17.0,20.0,17.0,19.0,16.0,16.0,15.0,20.0,19.0,18.0,14.0,18.0,16.0,18.0,17.56
71,Viet Trung Nguyen,17.0,20.0,22.0,18.0,21.0,,18.0,14.0,20.0,,21.0,22.0,19.0,20.0,,20.0,17.0,19.37
72,Yuya Nishimoto,18.0,16.0,21.0,20.0,21.0,16.0,19.0,13.0,20.0,16.0,24.0,20.0,22.0,16.0,18.0,21.0,,18.84
73,Vincent Ong,21.0,11.0,22.0,19.0,24.0,24.0,23.0,24.0,24.0,25.0,24.0,24.0,18.0,23.0,22.0,17.0,21.0,22.07
74,Arisa Onoda,17.0,14.0,18.0,17.0,21.0,,20.0,13.0,14.0,20.0,19.0,19.0,18.0,18.0,16.0,19.0,17.0,17.63
75,Piotr Pawlak,24.0,24.0,25.0,22.0,21.0,17.0,24.0,19.0,12.0,15.0,20.0,23.0,23.0,19.0,19.0,24.0,19.0,20.92
76,Yehuda Prokopowicz,24.0,20.0,23.0,23.0,24.0,17.0,21.0,19.0,15.0,19.0,20.0,19.0,23.0,20.0,22.0,22.0,19.0,20.73
77,Hao Rao,17.0,15.0,24.0,23.0,21.0,18.0,21.0,25.0,19.0,21.0,20.0,20.0,25.0,23.0,24.0,19.0,24.0,21.27
78,Anthony Ratinov,23.0,18.0,23.0,21.0,22.0,16.0,23.0,18.0,19.0,18.0,23.0,,22.0,24.0,23.0,20.0,22.0,21.06
79,Zuzanna Sejbuk,18.0,17.0,19.0,16.0,20.0,16.0,17.0,15.0,15.0,17.0,20.0,22.0,21.0,17.0,19.0,14.0,19.0,17.72
80,Jun Shimada,19.0,17.0,21.0,22.0,21.0,19.0,22.0,18.0,16.0,19.0,20.0,22.0,18.0,18.0,20.0,17.0,18.0,19.25
81,Miyu Shindo,20.0,18.0,21.0,24.0,23.0,23.0,24.0,20.0,18.0,24.0,22.0,22.0,23.0,22.0,22.0,22.0,23.0,21.92
82,Mana Shoji,18.0,16.0,20.0,16.0,21.0,18.0,19.0,16.0,16.0,22.0,21.0,22.0,18.0,18.0,,22.0,20.0,18.93
83,Gabriele Strata,16.0,20.0,22.0,15.0,19.0,24.0,22.0,19.0,14.0,20.0,19.0,20.0,18.0,22.0,21.0,23.0,20.0,19.84
84,Eva Strejcova,17.0,21.0,20.0,15.0,21.0,16.0,24.0,16.0,13.0,16.0,20.0,16.0,20.0,15.0,22.0,19.0,18.0,18.11
