Nr,Uczestnik,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,Katarzyna Popowa-Zdroń,John Rink,Wojciech Świtała,Średnia
3,Tomoharu Ushida,20.0,19.0,24.0,25.0,22.0,19.0,21.0,21.0,24.0,22.0,21.0,22.0,,22.0,20.0,18.0,19.0,21.08
5,Zitong Wang,22.0,22.0,23.0,21.0,22.0,,21.0,17.0,16.0,24.0,19.0,23.0,18.0,24.0,18.0,21.0,18.0,20.69
11,Yifan Wu,21.0,19.0,21.0,24.0,21.0,17.0,23.0,22.0,18.0,20.0,23.0,20.0,19.0,18.0,18.0,20.0,22.0,20.32
12,Miki Yamagata,19.0,18.0,21.0,24.0,20.0,17.0,22.0,21.0,17.0,22.0,23.0,21.0,18.0,16.0,21.0,21.0,23.0,20.35
15,William Yang,21.0,16.0,20.0,23.0,24.0,24.0,24.0,16.0,22.0,24.0,22.0,,21.0,25.0,24.0,25.0,21.0,22.38
20,Jacky Zhang,19.0,19.0,20.0,21.0,20.0,19.0,18.0,18.0,16.0,18.0,18.0,19.0,23.0,19.0,17.0,18.0,19.0,18.80
24,Piotr Alexewicz,19.0,23.0,22.0,22.0,22.0,19.0,23.0,23.0,17.0,17.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.08
25,Jonas Aumiller,19.0,20.0,21.0,20.0,21.0,22.0,23.0,22.0,18.0,17.0,21.0,20.0,19.0,19.0,16.0,20.0,18.0,19.81
26,Yanyan Bao,18.0,18.0,21.0,19.0,23.0,17.0,18.0,18.0,17.0,19.0,16.0,19.0,22.0,17.0,19.0,20.0,22.0,18.82
28,Kai-Min Chang,21.0,20.0,20.0,21.0,23.0,,18.0,22.0,19.0,21.0,20.0,20.0,18.0,24.0,20.0,22.0,20.0,20.52
