Nr,Uczestnik,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,Średnia
57,Tianyou Li,18.0,21.0,18.0,21.0,24.0,19.0,17.0,19.0,19.0,18.0,20.0,19.0,18.0,16.0,19.0,20.0,20.0,19.09
62,Eric Lu,20.0,22.0,19.0,25.0,20.0,,20.0,24.0,20.0,21.0,23.0,,22.0,22.0,21.0,24.0,20.0,21.41
64,Tianyao Lyu,17.0,20.0,17.0,22.0,18.0,20.0,23.0,23.0,24.0,24.0,20.0,21.0,24.0,24.0,,19.0,22.0,21.25
73,Vincent Ong,19.0,18.0,18.0,22.0,24.0,24.0,22.0,25.0,23.0,20.0,25.0,20.0,18.0,21.0,17.0,23.0,19.0,21.04
81,Miyu Shindo,19.0,20.0,15.0,22.0,19.0,20.0,20.0,20.0,20.0,21.0,20.0,19.0,19.0,18.0,21.0,19.0,21.0,19.72
5,Zitong Wang,19.0,25.0,20.0,21.0,18.0,,20.0,23.0,19.0,19.0,22.0,22.0,21.0,22.0,22.0,20.0,19.0,20.64
15,William Yang,19.0,19.0,16.0,21.0,23.0,20.0,18.0,17.0,22.0,23.0,22.0,,23.0,19.0,23.0,21.0,20.0,20.48
24,Piotr Alexewicz,19.0,22.0,19.0,24.0,19.0,21.0,25.0,22.0,19.0,22.0,23.0,22.0,22.0,18.0,20.0,22.0,23.0,21.30
29,Kevin Chen,19.0,24.0,21.0,25.0,24.0,20.0,19.0,21.0,24.0,21.0,21.0,21.0,23.0,20.0,21.0,21.0,23.0,21.58
47,David Khrikuli,17.0,25.0,17.0,21.0,20.0,23.0,20.0,24.0,21.0,23.0,22.0,20.0,22.0,17.0,18.0,22.0,19.0,20.72
51,Shiori Kuwahara,19.0,21.0,16.0,23.0,20.0,19.0,21.0,22.0,21.0,16.0,24.0,23.0,21.0,21.0,23.0,23.0,21.0,21.04
